online user,# Spark workers,number of VMs,size of data,Amount of memory of workers,# cores of workers,total memory of VMs/local machine,#cores of VMs,think time,type of ML task,on-prem,Ave response time
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
5,8,2,8 KB,80 G,32,,32,30,MLP,0,47.9
